Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
Potsy Ponciroli,"Michael Hagerty,Shannon Houchins",Potsy Ponciroli,SHOUT! STUDIOS,"Hideout Pictures,Shout! Studios,Shout! Factory",,"Western,Action",English,"Oct 1, 2021, Limited","Oct 8, 2021",$42.1K,1h 39m,,,Old Henry,,,
Russell S. Doughten Jr.,Russell S. Doughten Jr.,"Joanne Talarico,Russell S. Doughten Jr.",,Mark IV Pictures Incorporated,,"Comedy,Drama",English,,"Oct 21, 2019",,1h 7m,,,Happiness Is,,,
"Mike Brett,Steve Jamison","Mike Brett,Kristian Brodie,Steve Jamison",,Ketchup Entertainment,Archer's Mark,,Documentary,English,"Apr 25, 2014, Limited","Jul 22, 2014",,1h 36m,,,Next Goal Wins,,,
Renato De Maria,Roberto Sessa,"Luca Infascelli,Francesca Marciano",Netflix,Picomedia,,"Drama,Mystery & Thriller",Italian,,"Jul 11, 2024",,1h 32m,,,Vanished Into the Night,,,
Mike Barker,"Bruna Papandrea,Jeanne Snow,Erik Feig,Lucy Kitada",Jessica Knoll,,"Made Up Stories,Picturestart,Orchard Farm Productions",R (Sexual Material|Rape|Language Throughout|Teen Substance Use|Violent Content),"Crime,Drama",English,,"Oct 7, 2022",,1h 53m,,,Luckiest Girl Alive,,,
Michael Giacchino,,"Heather Quinn,Peter Cameron",,,,"Fantasy,Action,Adventure,Horror",English,,"Oct 7, 2022",,54m,,,Werewolf by Night,,,
Nikyatu Jusu,"Nikkia Moulterie,Daniela Taplin Lundberg",Nikyatu Jusu,Amazon Studios,"Topic Studios,Blumhouse Television,Stay Gold Features,LinLay Productions",R (Brief Sexuality/Nudity|Some Language),"Horror,Mystery & Thriller",English,"Nov 23, 2022, Limited","Dec 16, 2022",,1h 38m,Dolby Digital,,Nanny,,,
Harry Bradbeer,"Millie Bobby Brown,Paige Brown,Alex Garcia,Ali Mendes,Mary Parent",Nancy Springer,,"Warner Bros.,EH Productions,PCMA Productions,Legendary Entertainment",PG-13 (Some Violence),"Mystery & Thriller,Action,Adventure,Crime",English,,"Sep 24, 2020",,2h 3m,,,Enola Holmes 2,,,
Shaka King,"Ryan Coogler,Charles D. King,Shaka King","Will Berson,Shaka King",Warner Bros,"BRON Studios,Participant Media,MACRO",R (Violence|Pervasive Language),"History,Drama,Biography",English,"Feb 12, 2021, Wide","Feb 12, 2021",$5.0M,2h 6m,,Scope (2.35:1),Judas and the Black Messiah,,,
Chinonye Chukwu,"Keith Beauchamp,Barbara Broccoli,Whoopi Goldberg,Thomas Levine,Michael Reilly,Frederick Zollo","Michael Reilly,Keith Beauchamp,Chinonye Chukwu",United Artists Releasing,"Frederick Zollo Productions,Eon Productions Ltd.,Whoop Inc.,MGM",PG-13,"Drama,History,Biography",English,"Oct 28, 2022, Wide","Nov 22, 2022",$9.0M,2h 10m,Dolby Digital,,Till,,,
Chloé Zhao,"Frances McDormand,Peter Spears,Mollye Asher,Dan Janvey,Chloé Zhao",Chloé Zhao,Searchlight Pictures,"Cor Cordium Productions,Highwayman Films,Hear/Say Productions",R (Some Full Nudity),Drama,English,"Feb 19, 2021, Wide","Feb 19, 2021",,1h 48m,"Dolby Digital,DTS,Dolby Atmos",Scope (2.35:1),Nomadland,,,
Maïwenn,"Pascal Caucheteux,Grégoire Sorlat","Maïwenn,Teddy Lussi-Modeste,Nicolas Livecchi",Fathom Events,Why Not Productions,,"History,Drama,Romance,Biography",French,"May 2, 2024, Limited","May 21, 2024",,1h 56m,,Flat (1.85:1),Jeanne du Barry,,,
John C. Donkin,,"Jim Hecht,William Schifrin,Ray DeLaurentis",,"Twentieth Century Animation,Blue Sky Studios,20th Century Studios,Bardel Entertainment",PG (Some Action and Mild Language),"Kids & Family,Comedy,Adventure,Animation",English,,"Jan 28, 2022",,1h 21m,"Dolby Digital,Dolby Atmos",,The Ice Age Adventures of Buck Wild,,,
Nicholas Stoller,"Judd Apatow,Nicholas Stoller,Joshua Church","Nicholas Stoller,Billy Eichner",Universal Pictures,"Apatow Company,Universal Studios",R (Some Drug Use|Language Throughout|Strong Sexual Content),"Romance,Comedy,LGBTQ+",English,"Sep 30, 2022, Wide","Oct 18, 2022",$11.6M,1h 55m,,Scope (2.35:1),Bros,,,
"Andrew Erwin,Jon Erwin","Jon Erwin,Andrew Erwin,Daryl C. Lefever,Mark Ciardi,Kevin Downes","David Aaron Cohen,Jon Erwin,Jon Gunn",Lionsgate,"city on a hill productions,Lionsgate Films,Kingdom Story Company",PG (Thematic Elements|Some Language),"Biography,Drama",English,"Dec 25, 2021, Wide","May 20, 2022",$26.5M,1h 52m,Dolby Digital,Scope (2.35:1),American Underdog,,,
Tate Taylor,"Tate Taylor,Jake Gyllenhaal,John Norris,Riva Marker",Amanda Idoko,American International Pictures,"The Black List,AGC Studios,Sarma Films,Nine Stories Productions,Wyolah Films",R (Sexual Content|Language|Some Nudity|Violence),Comedy,English,"Feb 12, 2021, Limited","Feb 12, 2021",,1h 36m,,,Breaking News in Yuba County,,,
Michael Walker,Alfred Sapse,Michael Walker,Gravitas Ventures,Call Sheet Films,,Comedy,English,,"Dec 15, 2020",,1h 35m,,,Paint,,,
Tetsuro Kodama,Norihiro Hayashida,Akira Toriyama,Crunchyroll,"Toei Company,Toei Animation",PG-13 (Some Action/Violence|Smoking),"Action,Adventure,Fantasy,Anime",Japanese,"Aug 19, 2022, Wide","Jul 12, 2023",$37.1M,1h 40m,Dolby Digital,Flat (1.85:1),Dragon Ball Super: Super Hero,,,
R.J. Daniel Hanna,Christian Sander,"R.J. Daniel Hanna,Christian Sander",Blue Fox Entertainment,Pensé Productions,PG-13 (Thematic Content|Some Teen Drinking|Suggestive References|Strong Language),Drama,English,"Apr 19, 2024, Limited","Jun 7, 2024",$375.5K,1h 48m,,,Hard Miles,,,
Arthur Lubin,Burt Kelly,"Curt Siodmak,Eric Taylor",Universal Pictures,Universal Pictures,,Horror,English,"Apr 12, 1940, Original",,,1h 10m,,,Black Friday,,"May 28, 2002",
David E. Talbert,"Lyn Sisson-Talbert,Kristin Burr,Mike Jackson,John Legend,David McIlvain,David E. Talbert",David E. Talbert,Netflix,"Golden Girl,260 Degrees Entertainment,Get Lifted Film Co.,Brillstein Entertainment Partners",PG (Peril|Some Thematic Elements),"Kids & Family,Holiday,Musical,Fantasy",English,"Nov 13, 2020, Limited","Nov 13, 2020",,2h 0m,,Flat (1.85:1),Jingle Jangle: A Christmas Journey,,,
Michelle Garza Cervera,"Paulina Villavicencio,Edher Campos","Michelle Garza Cervera,Abia Castillo",XYZ Films,Machete Producciones,,"Horror,Mystery & Thriller",Spanish,"Feb 10, 2023, Limited","Feb 16, 2023",,1h 33m,,,Huesera: The Bone Woman,,,
John Swab,,John Swab,Lionsgate,,R (Strong Violent Content|Language Throughout|Sexual Content|Nudity),"Action,Mystery & Thriller",English,"Sep 20, 2024, Limited","Sep 20, 2024",,1h 32m,,Scope (2.35:1),Long Gone Heroes,,,
Roseanne Liang,"Fred Berger,Tom Hern,Brian Kavanaugh-Jones,Kelly McCormick","Max Landis,Roseanne Liang",,"Four Knights Film,Rhea Films (II)",R,"Action,Horror,War",English,,"May 5, 2021",$90.0K,1h 23m,,,Shadow in the Cloud,,,
Alice Wu,"Blair Breard,Anthony Bregman,Alice Wu",Alice Wu,,Likely Story,PG-13 (Brief Language|Teen Drinking),"Romance,Comedy,LGBTQ+",English,,"May 2, 2020",,1h 45m,,,The Half of It,,,
Ally Pankiw,"James Weyman,Jason Aita,Breann Smordin",Ally Pankiw,Utopia,"Téléfilm Canada,Barn 12,Partizan,Ontario Creates,Vigilante Productions",,"Comedy,Drama",English,"Jun 7, 2024, Limited","Jun 18, 2024",$167.7K,1h 45m,,,I Used to be Funny,,,
Vasiliy Sigarev,,,,,,Drama,Russian,,,,1h 59m,,,Living,,,
Philipp Müller-Dorn,Philipp Müller-Dorn,Philipp Müller-Dorn,,,,Drama,German,,,,1h 55m,,,Emancipation,,,
Heather Graham,"Anthony Gudas,Paul Luba,Michael A. Nickles,Andre Relis,Chad A. Verdi Jr.,Chad A. Verdi,Michelle Verdi,Heather Graham",Heather Graham,Brainstorm Media,Verdi Productions,,"Romance,Comedy,Drama",English,"Oct 11, 2024, Limited","Oct 11, 2024",,1h 28m,,,Chosen Family,,,
John Carney,"Anthony Bregman,John Carney,Peter Cron,Rebecca O'Flanagan,Robert Walpole",John Carney,Apple Original Films,"Treasure Entertainment,Fís Éireann/Screen,Distressed Films,FilmNation Entertainment,Fifth Season,Likely Story",R (Brief Drug Use|Sexual References|Language Throughout),"Musical,Comedy,Drama,Music,Romance",English,"Sep 22, 2023, Limited","Sep 29, 2023",,1h 34m,,,Flora and Son,,,
Brandon Cronenberg,"Fraser Ash,Niv Fichman,Kevin Krikst,Andrew Starke",Brandon Cronenberg,,"Rhombus Media,Particular Crowd,Rook Films",R (Strong Bloody Violence|Some Graphic Nudity|Strong Sexual Content|Brief Drug Use|Language),"Sci-Fi,Horror,Mystery & Thriller",English,,"Nov 3, 2020",$745.8K,1h 42m,,,Possessor: Uncut,,,
Paco Plaza,"Pablo Cruz,Enrique López Lavigne,Diego Suarez Chialvo",Jorge Guerricaechevarría,Netflix,"Netflix,El Estudio",,"Horror,Mystery & Thriller",European Spanish,,"Oct 27, 2023",,1h 29m,,,Sister Death,,,
Kenny Ortega,"David Kirschner,Steven Haft","Mick Garris,Neil Cuthbert",Walt Disney Pictures,"Walt Disney Pictures,Touchwood Pacific Partners 1",PG,"Kids & Family,Holiday,Comedy,Fantasy",English,"Jul 16, 1993, Original","Jan 1, 2014",$1.7M,1h 35m,Surround,,Hocus Pocus 2,"Oct 18, 2024",,
Sinclair Hill,,,,,,Comedy,English,,,,1h 17m,,,The Man From Toronto,,,
Thom Zimny,"Thom Zimny,Jon Landau,Bruce Springsteen,Adrienne Gerard,Sean M. Stuart",,Hulu,,,"Documentary,Music,Biography",English,,"Oct 25, 2024",,1h 39m,,,Road Diary: Bruce Springsteen and The E Street Band,,,
Ken Loach,"Rebecca O'Brien,Pascal Caucheteux","Paul Laverty,Paul Laverty",Zeitgeist Films,"Why Not Productions,StudioCanal UK,Les Films du Fleuve,Sixteen Films,BBC Film",,Drama,English,"Apr 5, 2024, Limited","Jun 4, 2024",$229.7K,1h 53m,,,The Old Oak,,,
Richard Stanley,"Daniel Noah,Lisa Whalen,Elijah Wood",Scarlett Amaris,RLJE Films,"SpectreVision,XYZ Films,ACE Pictures Entertainment",,"Horror,Sci-Fi",English,"Jan 24, 2020, Limited","Feb 21, 2020",$677.3K,1h 51m,,Scope (2.35:1),Color Out of Space,,,
T.C. Christensen,"T.C. Christensen,Eric S Johnston",T.C. Christensen,Susan Tuckett Media,Remember Films,PG (Brief Violence|Thematic Material),"History,Drama,War,Faith & Spirituality",English,"Apr 11, 2024, Limited","Aug 2, 2024",,1h 37m,,,Escape from Germany,,,
Rob Minkoff,"Don Hahn,Andrew Gunn","David Berenbaum,David Berenbaum",Buena Vista Pictures,"Walt Disney Pictures,Doom Buggy Productions,Gunn Films",PG (Language|Frightening Images|Thematic Elements),"Kids & Family,Comedy,Fantasy",English,"Nov 26, 2003, Wide","Jan 1, 2014",$75.8M,1h 28m,"Surround,Dolby SR,DTS,SDDS",Scope (2.35:1),Haunted Mansion,,,
Carrie Cracknell,"Andrew Lazar,Christina Weiss Lurie","Alice Victoria Winslow,Ronald Bass",,"Mad Chance,MRC Film",PG (Some Suggestive References),"Romance,Drama",English,,"Jul 15, 2022",,1h 49m,Dolby Digital,,Persuasion,,,
Clint Eastwood,"Albert S. Ruddy,Tim Moore,Jessica Meier,Clint Eastwood","Nick Schenk,N. Richard Nash",Warner Bros. Pictures,"Malpaso Productions,Warner Bros.,Daniel Grodnik Productions,QED International,Albert S. Ruddy",PG-13 (Thematic Elements|Language),"Drama,Western,Mystery & Thriller",English,"Sep 17, 2021, Wide","Nov 4, 2021",$10.3M,2h 1m,Dolby Digital,Scope (2.35:1),Cry Macho,,,
Henrik Martin Dahlsbakken,"Henrik Martin Dahlsbakken,Åsmund Kjos Fjell",,,FilmBros,,"Action,Crime,Drama,History",Norwegian,,,,1h 25m,,,The Outlaws,,,
Joel Gallen,,,Netflix,,,"Comedy,Stand-Up",English,,"Sep 24, 2024",,1h 10m,,,Ellen DeGeneres: For Your Approval,,,
Marshall Burnette,"Samuel Goldberg,Ilan Ulmer","Jason Williamson,Marshall Burnette",Oscilloscope Laboratories,Blood Orange Pictures,,"Drama,Mystery & Thriller",English,"May 7, 2021, Limited","May 7, 2021",,1h 16m,,,Silo,,,
Malcolm D. Lee,"Ryan Coogler,LeBron James,Maverick Carter,Duncan Henderson","Juel Taylor,Tony Rettenmaier,Keenan Coogler,Terence Nance,Jesse Gordon,Celeste Ballard",Warner Bros. Pictures,"Warner Bros. Pictures Animation,Warner Bros. Pictures,Proximity,SpringHill Entertainment,Warner Bros. Animation",PG (Some Language|Some Cartoon Violence),"Kids & Family,Comedy,Adventure,Fantasy",English,"Jul 16, 2021, Wide","Jul 16, 2021",$70.5M,1h 55m,"Datasat,SDDS,Dolby Digital,Dolby Atmos",Flat (1.85:1),Space Jam: A New Legacy,,,
Sophie Hyde,"Debbie Gray,Adrian Politowski",Katy Brand,,"Cornerstone Pictures,Searchlight Pictures,Align,Genesius Pictures",R (Sexual Content|Graphic Nudity|Some Language),"Comedy,Drama",British English,,"Jun 17, 2022",,1h 37m,Dolby Digital,,"Good Luck to You, Leo Grande",,,
Dan Scanlon,Kori Rae,"Dan Scanlon,Jason Headley,Keith Bunin",Walt Disney,"Walt Disney Pictures,Pixar Animation Studios",PG (Some Mild Thematic Elements|Action/Peril),"Kids & Family,Comedy,Adventure,Fantasy,Animation",English,"Mar 6, 2020, Wide","Mar 6, 2020",$60.4M,1h 43m,"Dolby Atmos,DTS",Scope (2.35:1),Onward,,,
Maïmouna Doucouré,Zangro,"Maïmouna Doucouré,Alice Winocour,Valentine Milville,Nathalie Saugeon",NETFLIX,"Bien ou Bien Productions,France 3 Cinéma",,"Comedy,Drama",French (France),"Sep 9, 2020, Original","Sep 9, 2020",,1h 36m,,,Cuties,,,
"Jay Duplass,Mark Duplass","John E. Bryant,Jay Duplass,Mark Duplass","Jay Duplass,Mark Duplass",Sony Pictures Classics,Duplass Brothers,R (Nudity|Language|Some Sexual Content),"Mystery & Thriller,Comedy",English,"Sep 12, 2008, Limited","Feb 10, 2008",$140.0K,1h 28m,,,Baghead,,,
Sam Wrench,Taylor Swift,,AMC Theatres Distribution,"Taylor Swift Productions,Silent House",PG-13 (Suggestive Material|Some Strong Language),"Documentary,Music",English,"Oct 13, 2023, Wide","Dec 13, 2023",$178.9M,2h 48m,Dolby Atmos,Digital 2.39:1,TAYLOR SWIFT | THE ERAS TOUR,,,
Brad Watson,"Alan Latham,Philippe Martinez","Josh Ridgway,Kate Wood",,"Goldfinch,MSR Media,Highfield Grange Studios",PG (Violence|Brief Language|Thematic Material|Scary Images),"Adventure,Mystery & Thriller",British English,,"Feb 8, 2022",,1h 20m,,,Miss Willoughby and the Haunted Bookshop,,,
Brett Haley,"Elle Fanning,Brittany Kahan Ward,Mitchell Kaplan,Doug Mankoff,Paula Mazur,Andrew Spaulding","Jennifer Niven,Liz Hannah",,Echo Lake Entertainment,,"Romance,Drama",English,,"Mar 10, 2020",,1h 47m,,,All the Bright Places,,,
Charles Stone III,"Snoop Dogg,Kenya Barris,Mychelle Deschamps,Constance Schwartz,Jonathan Glickman","Danny Segal,Isaac Schamis",Amazon MGM Studios,"Panoramic Media Co,Death Row Pictures,Metro-Goldwyn-Mayer (MGM),Khalabo Ink Society,SMAC Entertainment",R (Some Underage Drinking|Drug Use|Sexual References|Pervasive Language),"Comedy,Sports",English,,"Jan 26, 2024",,1h 41m,Dolby Digital,,The Underdoggs,,,
Scott Wheeler,David Michael Latt,"Erik Estenberg,Jonathan Haug",,,,Comedy,English,,"Sep 11, 2015",,1h 30m,,,MILF,,,
Rodrigo Sorogoyen,"Ibón Cormenzana,Ignasi Estapé,Sandra Tapia,Rodrigo Sorogoyen,Eduardo Villanueva,Thomas Pibarot,Jean Labadie,Anne Labadie","Rodrigo Sorogoyen,Isabel Peña",Greenwich Entertainment,"Institut Català de les Empreses Culturals,Canal+,Latido Films,Caballo Films,Cronos Entertainment,Gobierno de España,Cofimage 33,Movistar+,Arcadia Motion Pictures,Instituto de la Cinematografía y de las Artes Audiovisuales,Comunidad de Madrid,SofiTVciné 9,Crea SGR,Ciné+,Le Pacte,Eurimages,Radio Televisión Española",,"Drama,Mystery & Thriller",French (France),"Jul 28, 2023, Limited","Sep 26, 2023",,2h 18m,,Digital 2.39:1,The Beasts,,,
Aritz Ortiz,,Aritz Ortiz,,,,Mystery & Thriller,European Spanish,,"Oct 23, 2020",,1h 0m,,,The Russian Girl,,,
Rod Blackhurst,"Noah Lang,Mark Fasano,Nathan Klingher,Bobby Campbell,Arun Kumar,Ari Novak,Bernard Kira",David Ebeltoft,The Avenue,"Studio 507,BondIt Media Capital,Boxo Productions,Witchcraft Motion Picture Company ,Gramercy Park Media,Nickel City Pictures,Good Wizard,JaiD7 Pictures",R (Language|Drug Use|Some Sexual Material/Nudity|Suicide|Violence),"Mystery & Thriller,Crime,Drama,Action",English,"Apr 19, 2024, Limited","Apr 19, 2024",,1h 38m,,,Blood for Dust,,,
Woody Allen,"Erika Aronson,Letty Aronson",Woody Allen,MPI Media Group,"Gravier Productions,Perdido Productions",PG-13 (Partial Nudity|Language|Smoking|Some Drug Use|Suggestive Content),Comedy,English,"Oct 9, 2020, Limited","Nov 10, 2020",,1h 32m,"DTS,Dolby Atmos,Dolby Digital",,A Rainy Day in New York,,,
Peter Thorwarth,"Christian Becker,Benjamin Munz","Stefan Holtz,Peter Thorwarth",,"Rat Pack Filmproduktion,Sirena Film",,"Horror,Mystery & Thriller",German,,"Jul 23, 2021",,2h 1m,,,Blood Red Sky,,,
Ian Niles,"Ian Niles,Guy Harry","Ian Niles,Ian Niles,Guy Harry",Complex Corp,Comedy Movie,,"Comedy,Crime",English,"Oct 25, 2024, Limited","Oct 25, 2024",,1h 33m,,,Con Job,,,
Mary Lambert,Charles Shyer,"Todd Calgi Gallicano,Charles Shyer",Netflix,Motion Picture Corporation of America (MPCA),,"Holiday,Romance,Comedy",English,"Nov 16, 2023, Limited","Nov 16, 2023",,1h 20m,,,Best. Christmas. Ever!,,,
Andrea Arnold,Nick Laws,Andrea Arnold,,Zephyr Films,,Drama,British English,,,,10m,,,Dog,,,
A.V. Rockwell,"Eddie Vaisman,Julia Lebedev,Lena Waithe,Rishi Rajani,Brad Weston",A.V. Rockwell,Focus Features,"Universal Films,Sight Unseen Pictures,Makeready,Hillman Grad",R (Language),Drama,English,"Mar 31, 2023, Wide","Apr 18, 2023",$3.4M,1h 57m,,,A Thousand and One,,,
Salvador Simó,,"Ignacio Ferreras,Rosanna Cecchini,Carole Wilkinson",Viva Kids,"Guardián De Dragones A.I.E.,Atresmedia Cine,Telefónica Audiovisual Digital,Movistar+,China Film Animation",PG (Violence|Thematic Elements|Scary Images),"Fantasy,Adventure,Animation",English,"May 3, 2024, Limited","Jul 9, 2024",,1h 39m,,,Dragonkeeper,,,
Ben Wheatley,"Raphaël Benoliel,Tim Bevan,Eric Fellner,Nira Park","Jane Goldman,Joe Shrapnel,Anna Waterhouse",Netflix,"Netflix,Working Title Films",PG-13 (Smoking|Partial Nudity|Some Sexual Content|Thematic Elements),"Drama,Romance,Mystery & Thriller",British English,"Oct 21, 2020, Limited","Oct 21, 2020",,2h 1m,,Scope (2.35:1),Rebecca,,,
Néstor F. Dennis,"Néstor F. Dennis,Cristóbal Rodríguez",Néstor F. Dennis,International Media Network,Méliès Producciones,,"Kids & Family,Comedy,Adventure,Animation",English,"Jul 12, 2024, Limited","Jul 17, 2024",,1h 24m,,Flat (1.85:1),Johnny Puff: Secret Mission,,,
Jeff Wamester,"James Krieg,Kimberly S. Moreau","Marv Wolfman,James Krieg",,Warner Bros. Animation,PG-13 (Some Violence|Brief Strong Language),"Action,Adventure,Animation",English,,"Jan 9, 2024",,1h 33m,"Dolby Digital,Dolby Atmos",,Justice League: Crisis on Infinite Earths Part One,,,
John Irvin,,,,,PG,Drama,English,,"Nov 30, 2016",,1h 55m,Surround,,Champions,,,
Jennifer Phang,Wendy Williams,"Dan Frey,Russell Sommer",Disney+,"Disney Channel,Disney Branded Television,Disney+",,"Kids & Family,Musical,Fantasy,Adventure",English,,"Jul 12, 2024",,1h 31m,Dolby Digital,,Descendants: The Rise of Red,,,
Rick Rosenthal,Doug Chapin,"David Greenwalt,Jim Kouf",,CBS Theatrical Films,PG,"Romance,Comedy",English,"Oct 26, 1984, Limited","Nov 22, 2020",,1h 45m,Stereo,Flat (1.85:1),American Dreamer,,,
Agnieszka Holland,Marcin Wierzchoslawski,"Maciej Pisuk,Agnieszka Holland,Gabriela Lazarkiewicz",Kino Lorber,"Beluga Tree,Metro Films,Blick Productions,Astute Films",,Drama,Polish,"Jun 21, 2024, Limited","Aug 20, 2024",$94.1K,2h 27m,,,Green Border,,,
Jonathan Zaurin,"Jérôme Bardon,Kate Pothecary,Jonathan Zaurin,Sarah Zaurin",Jérôme Bardon,,,,Horror,English,,,,18m,Stereo,Scope (2.35:1),Portraits,,,
Josh Boone,"Simon Kinberg,Karen Rosenfelt,Lauren Shuler Donner","Josh Boone,Knate Lee",20th Century Studios,"Sunswept Entertainment,Kinberg Genre",PG-13 (Some Strong Language|Some Disturbing/Bloody Images|Suggestive Material|Thematic Elements|Violent Content),"Fantasy,Horror",English,"Aug 28, 2020, Wide","Oct 10, 2020",$23.9M,1h 34m,Dolby Atmos,Flat (1.85:1),The New Mutants,,,
Jennifer Esposito,"Christine Crokos,Jennifer Esposito,Leslie Ann Owen,Samantha Sprecher",Jennifer Esposito,Quiver Distribution,Fresh Kills Productions,,"Crime,Drama,Mystery & Thriller",English,"Jun 14, 2024, Limited","Jul 2, 2024",,1h 59m,,,Fresh Kills,,,
Edson Oda,"Jason Michael Berman,Mette-Marie Kongsved,Matthew Linder,Laura Tunstall,Datari Turner",Edson Oda,Sony Pictures Classics,"Nowhere,Juniper Productions,Oak Street Pictures,Baked Studios,The Space Program,30West,MACRO,Mandalay Pictures",R (Language),"Fantasy,Drama",English,"Jul 30, 2021, Limited","Nov 2, 2021",$694.6K,2h 4m,,,Nine Days,,,
Léa Mysius,"Jean-Louis Livi,Fanny Yvonnet","Léa Mysius,Paul Guilhaume",,"F Comme Film,arte France Cinéma,Trois Brigands Productions",,"Comedy,Drama",French (France),,"Jan 20, 2018",,1h 45m,,Flat (1.85:1),Ava,,,
"Don Hall,Carlos López Estrada","Osnat Shurer,Peter Del Vecho","Adele Lim,Qui Nguyen",Walt Disney,"Walt Disney Animation Studios,Walt Disney Pictures",PG (Some Violence|Action|Thematic Elements),"Kids & Family,Fantasy,Adventure,Animation",English,"Mar 5, 2021, Wide","Mar 5, 2021",$54.7M,1h 48m,Dolby Atmos,Scope (2.35:1),Raya and the Last Dragon,,,
Roger Kumble,"Mark Canton,Nicolas Chartier,Jennifer Gibgot,Brian Pitt,Courtney Solomon,Anna Todd","Anna Todd,Mario Celaya",Open Road,"CalMaple,Frayed Pages Entertainment",R (Sexual Content|Language Throughout|Some Drug Material),"Romance,Drama",English,"Oct 23, 2020, Limited","Oct 23, 2020",$2.4M,1h 47m,,Scope (2.35:1),After We Collided,,,
"Gabriel Bienczycki,Richard Karpala","Richard Karpala,Gabriel Bienczycki",Richard Karpala,XYZ Films,,,"Drama,Horror",English,,"Oct 11, 2024",,1h 20m,,,Falling Stars,,,
Niclas Larsson,"Ella Bishop,Pau Suris,Alex Black,Sara Murphy",Niclas Larsson,Film Movement / Memory,Fat City,,"Comedy,Drama",English,"Jul 5, 2024, Limited","Sep 13, 2024",,1h 36m,,,"Mother, Couch",,,
Meg Ryan,"Jonathan Duffy,Kelly Williams,Laura D. Smith,Kristin Mann","Steven Dietz,Kirk Lynn,Meg Ryan",Bleecker Street,"Prowess Pictures,Das Films,Rockhill Studios,Ten Acre Films",R (Some Sexual References|Language|Brief Drug Use),"Romance,Comedy",English,"Nov 3, 2023, Wide","Nov 28, 2023",$3.3M,1h 43m,,,What Happens Later,,,
